uniprot_id,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,sig_pi,contrast,gene,protein,description
P0C644,-0.10402729086190021,-0.35279674859484167,0.14474216687104122,16.383801258233078,-0.8669615944562155,-5.8056657676093515,0.3952720443693676,0.6336482472445566,-0,-0,0.9079589069146016,0,PHEvPHE_MITO,Ppip5k1,VIP1_RAT,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1
P0C6B1,0.22160273038793576,-0.17366198373763103,0.6168674445135025,19.70262980563396,1.1623493877866726,-5.519855669851557,0.2574833956525266,0.49943807454203937,0,0,0.7403215987327911,0,PHEvPHE_MITO,Slc35e1,S35E1_RAT,Solute carrier family 35 member E1
P0C8E4,-0.04374996065270764,-0.3389905830240536,0.2514906617186383,18.801573693951656,-0.3072212024970032,-6.128165497260383,0.7615491944098054,0.8778164603343135,-0,-0,0.9881532208244085,0,PHEvPHE_MITO,Map3k7,M3K7_RAT,Mitogen-activated protein kinase kinase kinase 7
P0CB49,-0.2245882513998012,-0.4588452777107085,0.00966877491110607,19.84944613836249,-1.9876688785677306,-4.3628324704353965,0.0593686884950062,0.24439334308085653,-1,-0,0.5303412567084055,0,PHEvPHE_MITO,Ylpm1,YLPM1_RAT,YLP motif-containing protein 1
P0CE43,-0.1020250193679395,-0.21370236421119754,0.009652325475318538,23.43054066416504,-1.894049112534346,-4.517103312509931,0.07137153236619517,0.266313342043427,-1,-0,0.7638900762095197,0,PHEvPHE_MITO,Grb10,GRB10_RAT,Growth factor receptor-bound protein 10
P0DL28,0.26729558081040494,-0.024836511480243795,0.5594276731010537,19.78421525805835,1.896977324265967,-4.5123570114768645,0.07096602864080241,0.2656251819686109,1,0,0.493049901820257,0,PHEvPHE_MITO,Fbxw8,FBXW8_RAT,F-box/WD repeat-containing protein 8
P0DMW0,-0.09865584174278297,-0.2531683137756936,0.055856630290127635,29.288687337528344,-1.323758908022361,-5.332754795646782,0.19910380590713922,0.43874043612549796,-0,-0,0.8528057191047209,0,PHEvPHE_MITO,Hspa1a,HS71A_RAT,Heat shock 70 kDa protein 1A
P0DN35,0.10542430608871811,-0.10123552963617455,0.31208414181361077,23.059009748623765,1.0576313154854062,-5.629783403331666,0.30163942476445876,0.546636152118397,0,0,0.881303296392232,0,PHEvPHE_MITO,Ndufb1,NDUB1_RAT,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1
P0DP29;P0DP30;P0DP31,-0.1151421793557752,-0.23716999584037607,0.0068856371288256585,28.949092103561657,-1.9562539650470008,-4.415174001234359,0.06318087544444645,0.2507409474698676,-1,-0,0.7276069128450067,0,PHEvPHE_MITO,Calm1;Calm2;Calm3,CALM1_RAT;CALM2_RAT;CALM3_RAT,Calmodulin-1
P0DW89,-0.028749001649369887,-0.2803791708784516,0.22288116757971183,18.584345795947318,-0.23686979718052933,-6.147253550429994,0.8149380300004976,0.9011399640079615,-0,-0,0.9941339847972788,0,PHEvPHE_MITO,Zftraf1,ZTRF1_RAT,Zinc finger TRAF-type-containing protein 1
P10252,0.37403997327274396,0.004273334654342431,0.7438066118911455,19.58517792266688,2.097200352558148,-4.175967131997866,0.04762541191888978,0.21831701416603655,1,0,0.32022765827678784,0,PHEvPHE_MITO,Cd48,CD48_RAT,CD48 antigen
P10536,-0.13351036610511358,-0.2739528215412099,0.006932089330982771,24.914353517096448,-1.97090732239141,-4.390830717116849,0.06137656287791851,0.2480451529100095,-1,-0,0.6889469448769742,0,PHEvPHE_MITO,Rab1b,RAB1B_RAT,Ras-related protein Rab-1B
P10686,0.004569075019915658,-0.10611396602220423,0.11525211606203555,21.161292577483902,0.08558483858847765,-6.171630016139997,0.9325665213876579,0.9667633092728827,0,0,0.9996810618430475,0,PHEvPHE_MITO,Plcg1,PLCG1_RAT,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1"
P10688,0.23907570610466067,0.08099512538454934,0.397156286824772,21.258583817577495,3.135498191054973,-2.1402687129840974,0.004787860385625133,0.08892705486204132,1,1,0.2788548393218393,0,PHEvPHE_MITO,Plcd1,PLCD1_RAT,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1"
