uniprot_id,gene,PC1_loading,PC2_loading,compartment
A0A8I5ZRB2,Atxn2,-0.0253,0.00312,Nucleus
A0A8I5ZRH3,Aldh1l2,0.00216,0.01749,Mitochondrion
A0A8I5ZRL0,Reck,0.00413,-0.00208,Other
A0A8I5ZRQ2,Shroom1,-0.01686,-0.01296,Cytoskeleton
A0A8I5ZRW0,Snrpg,0.00521,0.01049,Nucleus
A0A8I5ZSB2,Ddhd1,0.00778,-0.00521,Other
A0A8I5ZSJ6,Arih1,0.0215,0.01663,Nucleus
A0A8I5ZSJ9,Afap1l2,-0.0103,0.01834,Other
A0A8I5ZSK4,Mia2,-0.01718,0.01176,Nucleus
A0A8I5ZSL2,Isca2,-0.02157,-0.01543,Mitochondrion
A0A8I5ZSV2,Commd4,0.0125,0.00162,Other
A0A8I5ZSY9,Synpo2l,-0.00239,0.00833,Cytoskeleton
A0A8I5ZT10,Ccm2,0.01102,-0.00633,Mitochondrion
A0A8I5ZT11,Xpot,0.01252,0.00864,Nucleus
A0A8I5ZT12,Gapvd1,0.01004,0.00172,Other
A0A8I5ZT32,Guk1,-0.00173,-0.02916,Mitochondrion
A0A8I5ZT87,Mycbp,-0.01393,-0.01655,Mitochondrion
A0A8I5ZTA3,Sec16a,-0.02119,0.0134,Nucleus
A0A8I5ZTF5,Ttc28,-0.01832,0.00434,Cytoskeleton
A0A8I5ZTN5,Adsl,0.02319,7e-5,Other
A0A8I5ZTQ0,Mydgf,-0.00233,0.02267,Other
A0A8I5ZTW6,Gopc,-0.01428,-0.01898,Other
A0A8I5ZUD6,Cmtm3,-0.01317,0.01826,Nucleus
A0A8I5ZUD8,Slc30a9,0.00432,-0.01944,Mitochondrion
A0A8I5ZUE2,Arhgef40,0.00273,-0.02351,Other
A0A8I5ZUK2,Ubap2l,-0.02527,-0.00365,Nucleus
A0A8I5ZUN1,Blvrb,0.02266,0.01026,Other
A0A8I5ZUT2,Irgq,-0.0248,-0.00843,Other
A0A8I5ZUW5,Pcm1,-0.00879,-0.0115,Cytoskeleton
A0A8I5ZUX3,Srp72,-0.0203,-0.0055,Other
A0A8I5ZV13,Mettl13,0.01769,0.02076,Mitochondrion
A0A8I5ZV26,Stom,0.0095,-0.02012,Mitochondrion
A0A8I5ZV49,Flna,-0.02832,0.00141,Cytoskeleton
A0A8I5ZV82,Mlkl,0.00277,0.00398,Other
A0A8I5ZVC4,Itih2,-0.01219,0.01752,Other
A0A8I5ZVG2,Ctnnd1,0.00463,-0.02044,Other
A0A8I5ZVG9,Ap1s2,-0.00624,0.01241,Other
A0A8I5ZVI5,Antxr2,0.01137,-0.01021,Nucleus
A0A8I5ZVI9,Ranbp3,-0.00295,-0.01173,Nucleus
A0A8I5ZVL6,Ncaph,0.00212,-0.0308,Nucleus
A0A8I5ZVM8,Zcchc24,-0.00277,0.02272,Other
A0A8I5ZVU4,Pdpr,0.01803,-0.01405,Mitochondrion
A0A8I5ZVX9,Dnajc9,-0.01104,-0.01149,Other
A0A8I5ZVY5,Prpf40a,0.01209,0.00807,Nucleus
A0A8I5ZVY6,Rint1,0.01259,-0.0184,Nucleus
A0A8I5ZW03,Leng9,-0.00672,-0.0126,Other
A0A8I5ZW24,Ccdc88a,-0.00494,-0.03509,Cytoskeleton
A0A8I5ZWB2,Ints13,0.02018,0.00264,Nucleus
A0A8I5ZWC2,Myo6,-0.01591,-0.00601,Cytoskeleton
A0A8I5ZWC6,Kpna3,0.01675,0.01151,Nucleus
A0A8I5ZWI2,Atp6v1h,-0.00297,0.00399,Other
A0A8I5ZWS3,Ubl7,0.01617,0.0287,Other
