contrast,database,pathway,label,NES,pval,padj,size,dedup_kept,leadingEdge
PC1,Reactome,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3,Transcriptional Regulation By Runx3,2.42,3.59e-6,2.11e-4,33,TRUE,Psmb5;Psma3;Psmc4;Psmd13;Psmb2;Smurf1;Psmb3;Psma6;Psma4;Src;Psma2;Ccnd1;Psma7;Psmd12;Psmd8;Ctnnb1;Psma1;Psmc6;Itga4;Psmd14
PC1,Reactome,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,Transcriptional Regulation By Tp53,0.873,0.728,0.838,91,FALSE,Prdx2;Ppp2cb;Ywhah;Cdk2;Gpi;Prdx1;Ywhae;Ywhab;Ssrp1;Ywhag;Mapk14;Rfc5;Cdk1;Rfc3;Rpa1;Pml;Polr2g;Rfc4;Apaf1;Eloa;Cox7b;Txnrd1;Prkag1;Mtor;Pten;Nelfb;Polr2e;Ywhaq;Cdkn1a;Mre11;Hdac1;Rpa2;Gls
PC1,Reactome,REACTOME_TRANSLATION,Translation,1.791,2.77e-4,0.00244,96,TRUE,Sec61a1;Psmb5;Psma3;Psmc4;Psmd13;Psmb2;Psmb3;Psma6;Psma4;Rars1;Rbx1;Psma2;Aimp2;Ube2d3;Rplp0;Psma7;Oxa1l;Ppa1;Psmd12;Psmd8;Eif2s1;Eif4a1;Iars1;Psma1;Rpn1;Mrps18b;Psmc6;Ptcd3;Sec11a;Rps27l;Spcs3;Rps2;Rpl22;Eif1ax;Psmd14;Dap3;Rps5;Aars1
PC1,Reactome,REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE,Translocation Of Slc2a4 Glut4 To The Plasma Membrane,1.559,0.0375,0.118,27,TRUE,Actb;Tuba4a;Ywhah;Ywhae;Ywhab;Tuba3a;Rac1;Ywhag;Rala;Kifap3;Prkag1;Exoc2;Rab4a;Myo1c;Ywhaq
PC1,Reactome,REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM,Transport Of Mature Transcript To Cytoplasm,-1.19,0.21,0.362,24,TRUE,Srsf2;Srsf7;Srsf6;Srsf3;Alyref;Sympk;Ddx39a;Upf3b;Srsf1;Rnps1;Rae1
PC1,Reactome,REACTOME_TRANSPORT_OF_SMALL_MOLECULES,Transport Of Small Molecules,1.913,2e-5,3.85e-4,118,TRUE,Psmb5;Psma3;Psmc4;Psmd13;Atp1b3;Slc35b2;Psmb2;Phb1;Ap2b1;Psmb3;Psma6;Psma4;Atp2a2;Cltc;Abcd3;Psma2;Vdac2;Vdac3;Pmpca;Psma7;Sar1b;Gnb2;Slc25a11;Psmd12;Vdac1;Psmd8;Eif2s1;Slc25a1;Slc29a1;Gnas;Atp6v1c1;Casq2;Esyt1;Psma1;Cyb5r1;Phb2;Slc25a4;Atp6v0c;Slc25a10;Lipa;Cul1;Psmc6
PC1,Reactome,REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,Trans Golgi Network Vesicle Budding,-1.156,0.259,0.433,22,TRUE,Cltb;Ap3s1;Picalm;Clta;Hspa8;Stx4;Tpd52;M6pr;Snap23;Vamp8
PC1,Reactome,REACTOME_TRNA_PROCESSING,tRNA Processing,1.001,0.454,0.639,15,TRUE,Nup205;Ran;Xpot;Hsd17b10;Nup93
PC1,Reactome,REACTOME_TURBULENT_OSCILLATORY_DISTURBED_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_INTEGRINS_IN_ENDOTHELIAL_CELLS,Turbulent Oscillatory Disturbed Flow Shear Stress Activates Signaling By Piezo1 & Integrins In Endothelial Cells,-0.968,0.487,0.654,15,TRUE,Itga5;Ikbkg;Stat1;Itgav;Abl1;Ptk2
PC1,Reactome,REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,UPR,-1.244,0.142,0.281,37,TRUE,Khsrp;Hdgf;Arfgap1;Hyou1;Preb;Add1;Asns;Calr;Hspa5;Ssr1;Atp6v0d1;Dctn1;Eif2s3;Yif1a
